id,nickname,codi_postal,genere,rang_edat,nivell_estudis,situacio_laboral,estat_civil,num_jugador,acabat,diners_inicials,num_seleccions,guany_final,partida_id,vals,origen,pais,residencia,enquesta_final_pr1,enquesta_final_pr2,enquesta_final_pr3,enquesta_final_pr4,enquesta_final_pr5,enquesta_final_pr6,enquesta_final_pr7,enquesta_final_pr8,enquesta_final_pr9,enquesta_final_pr10,enquesta_final_pr11,enquesta_final_pr12,enquesta_final_pr13,bots
127,Betty,8840,M,r3,r4,r3,r2,1,1,40,10,12,21,2,r2,Bulgaria,r1,r1,r1,r3,r2 ,r3,r11 ,r2,r4,r5,r1,r2,r1 ,Wi fi gratuito,0
128,Nona88,8840,M,r4,r6,r3,r2,3,0,40,10,22,22,3,r1,Spain,r1,r5,r4,r6,r4 ,r3,r6 ,r8,r5,r3,r5,r4,r6 ,Fff,0
129,NuriaTB,8840,M,r4,r6,r3,r2,6,1,40,10,14,22,2,r1,Spain,r1,r1,r2,r3,r1 r5 ,r2,r2 r3 ,r7,r5,r1,r1,r2,r1 r2 r5 ,"Millora de les condicions de les terrasses dels bars: agafen molt espai, paravents poc adequats, cuidar una mica l'estetica i la image (pissarres 
...)",0
130,Laiamartin,8840,F,r1,r3,r2,r3,4,1,40,10,24,22,3,r1,Spain,r1,r2,r2,r1,r1 r2 r4 ,r3,r11 ,r2,r3,r3,r2,r3,r1 r2 r5 ,"Bars musicals
",0
131,Bena,8840,F,r1,r3,r2,r1,1,1,40,10,14,22,2,r1,Spain,r1,r2,r2,r1,r2 r5 ,r2,r1 r2 r4 r7 ,r2,r4,r3,r2,r2,r2 ,"La brosa del terra, el soroll i l'estat dels arbres es depriment",0
132,Jon,8840,M,r6,r6,r3,r2,5,0,40,10,18,22,2,r1,Spain,r1,r1,r2,r1,r1 r2 ,r2,r2 r7 r11 ,r1,r3,r4,r2,r2,r2 r5 r6 ,"Espacios para perros
",0
133,Edith,8840,M,r4,r6,r1,r2,2,1,40,10,22,22,3,r1,Spain,r1,r1,r2,r2,r4 ,r2,r5 r6 ,r5,r3,r3,r2,r2,r4 ,Un quiosco. Con prensa ,0
134,Aivlis,8840,M,r5,r6,r3,r2,1,1,40,10,22,23,3,r1,Spain,r1,r1,r1,r4,r1 ,r1,na,r4,r4,r4,r2,r3,r4 ,"Mí©s espais verds
",0
135,Yohan13,8840,M,r2,r5,r2,r1,2,1,40,10,16,23,2,r1,Spain,r1,r1,r2,r3,r3 ,r2,r8 ,r3,r5,r1,r1,r2,r4 ,Peatonal nova,0
136,Frosdo,8840,F,r3,r6,r3,r1,5,1,40,10,14,23,2,r1,Spain,r1,r1,r2,r3,r5 ,r2,r2 r5 r7 r10 ,r4,r4,r1,r2,r1,r4 ,Negocis locals,0
137,PitasPitas,8840,M,r4,r4,r1,r2,4,1,40,10,16,23,2,r1,Spain,r1,r1,r1,r1,r1 ,r2,r2 r7 ,r5,r3,r5,r1,r1,r1 ,"Míçs comercios
",0
138,Frosdito,8840,M,r4,r5,r3,r3,6,1,40,10,24,23,3,r1,Spain,r1,r2,r2,r4,r6 ,r1,na,r2,r3,r1,r1,r3,r2 ,"Espai de joc
",0
139,Alige,8840,F,r7,r6,r1,r1,3,1,40,10,22,23,3,r1,Spain,r1,r1,r2,r1,r1 r2 r3 r4 r5 ,r1,na,r3,r4,r1,r1,r2,r1 r2 r3 ,"Sobra transit  i millora del paviment aixi com una sortida al cami del mar
",0
140,Teresita,8840,F,r5,r6,r3,r2,3,1,40,10,8,24,1,r1,Spain,r1,r2,r1,r6,r1 ,r1,na,r5,r2,r2,r4,r3,r4 ,"Il.luminacií_
",0
141,Level 40,8840,M,r1,r3,r2,r1,6,1,40,10,22,24,3,r1,Spain,r1,r2,r2,r2,r1 r2 r4 ,r2,r2 r4 r5 r10 ,r2,r3,r5,r2,r2,r1 r2 ,Espacios verdes,0
142,Paco,8840,M,r1,r2,r2,r1,4,1,40,10,24,24,3,r1,Spain,r1,r2,r2,r1,r1 r2 ,r3,r2 r4 r9 ,r1,r2,r5,r4,r2,r1 r2 ,Espais verds,0
143,Lili,8840,M,r4,r6,r3,r4,1,1,40,10,24,24,3,r1,Spain,r1,r1,r2,r3,r6 ,r2,r5 ,r7,r5,r1,r1,r2,r2 ,"Que sea mas seguro cuando entran coches , que se pueda patinar",0
144,Susi,8840,M,r1,r3,r2,r1,5,1,40,10,16,24,2,r1,Spain,r1,r1,r2,r1,r2 ,r2,r5 r8 ,r1,r5,r5,r1,r2,r1 ,Zonas verdes y menos circulacion ,0
145,Pepita,8840,F,r4,r6,r3,r2,2,1,40,10,10,24,2,r1,Spain,r1,r2,r2,r3,r6 ,r2,r2 r5 r7 ,r6,r2,r5,r4,r2,r1 r2 ,Zona verda,0
146,Natan,8840,M,r1,r2,r3,r1,3,0,40,10,16,25,2,r1,Spain,r1,r1,r2,r5,r4 ,r2,r3 ,r2,r3,r1,r1,r2,r1 ,"Wifi
",0
147,Conillet,8840,M,r5,r5,r1,r3,6,1,40,10,14,25,2,r1,Spain,r1,r1,r1,r3,r1 r2 r6 ,r3,r5 r10 r11 ,r4,r3,r1,r2,r1,r1 r6 ,X,0
148,Mayne,8840,F,r2,r4,r2,r1,5,1,40,10,22,25,3,r1,Spain,r1,r2,r2,r4,r1 r2 r5 r6 ,r2,r5 r7 r9 r10 ,r8,r3,r5,r2,r2,r1 r2 r4 ,"Un pasaje que de pie a una ciudad volcada en el cuidado de sus calles aumentando los espacios naturales, fuentes y una limpieza adecuada.",0
149,Yera,8840,M,r5,r5,r3,r2,2,1,40,10,14,25,2,r1,Spain,r1,r1,r2,r4,r4 ,r2,r5 r10 ,r2,r3,r5,r2,r2,r1 ,"Vegetacion y limpieza
",0
150,Galix,8840,M,r5,r5,r3,r2,4,1,40,10,28,25,3,r1,Spain,r1,r1,r2,r4,r4 ,r2,r5 ,r6,r2,r1,r2,r2,r1 ,Nada,0
151,Josepmpv,8840,M,r6,r3,r1,r4,1,1,40,10,22,25,3,r1,Spain,r1,r4,r2,r4,r4 ,r2,r1 r2 r4 r7 r10 ,r4,r2,r1,r2,r2,r4 ,"Neteja
",0
152,Lola,8840,F,r6,r4,r3,r2,5,1,40,10,28,26,3,r1,Spain,r1,r2,r2,r4,r1 ,r3,r8 r10 ,r3,r3,r1,r2,r2,r1 ,Espacios verdes,0
153,Maribel,8840,F,r5,r4,r3,r2,6,1,40,10,12,26,2,r1,Spain,r1,r2,r2,r1,r1 r6 ,r1,na,r1,r4,r1,r2,r3,r1 r6 ,"Petit comerí_, mí©s activitats lí_diques...",0
154,Yo mismo,8840,M,r5,r4,r3,r2,4,1,40,10,18,26,2,r1,Spain,r1,r1,r2,r4,r1 ,r1,na,r1,r2,r4,r3,r3,r6 ,"Míçs verde
",0
155,Eli,8840,F,r4,r5,r3,r2,3,1,40,10,24,26,3,r1,Spain,r1,r1,r1,r6,r1 r2 ,r2,r2 r5 r7 r9 r10 ,r4,r4,r1,r2,r2,r1 r2 ,Neteja,0
156,Titi,8840,M,r5,r6,r3,r2,2,1,40,10,12,26,2,r1,Spain,r1,r2,r2,r2,r4 ,r2,r8 ,r6,r4,r3,r2,r2,r1 r2 r3 r4 ,"Menos trafico. Que sea peatonal y que haya mas comercio
",0
157,Angie,8840,M,r5,r6,r3,r2,1,1,40,10,16,26,2,r1,Spain,r1,r1,r2,r1,r1 ,r1,na,r6,r4,r5,r2,r3,r2 ,Mas actividad comercial,0
158,Conchi f,8840,M,r6,r6,r3,r2,3,1,40,10,16,27,2,r1,Spain,r1,r1,r1,r4,r1 ,r2,r5 ,r1,r4,r1,r2,r2,r4 ,"Mas lugares donde sntarse y demasiado ruido del trafico. Habria de ser totalmente peatonal
",0
159,Mariaaa,8840,F,r7,r1,r1,r2,2,1,40,10,22,27,3,r1,Spain,r1,r1,r2,r1,r3 ,r3,r1 r2 r3 r4 r5 ,r2,r2,r1,r1,r2,r3 ,"Negocios pequeí±os,",0
160,Star,8011,F,r3,r6,r3,r1,5,1,40,10,20,27,3,r2,Nepal,r1,r5,r4,r1,r2 ,r2,r11 ,r3,r2,r4,r5,r2,r3 ,-,0
161,Apra1961,8840,M,r6,r6,r3,r1,6,1,40,10,14,27,2,r1,Spain,r1,r5,r4,r6,r1 ,r2,r7 ,r1,r2,r2,r4,r3,r1 ,"Comercio
",0
162,Monica j,8840,M,r4,r5,r3,r3,1,1,40,10,14,27,2,r1,Spain,r1,r2,r2,r4,r4 ,r2,r2 ,r4,r3,r4,r2,r2,r1 ,Que no tubiese tríçfico vehí_culos,0
163,Ossaro,8840,M,r4,r4,r3,r1,4,1,40,10,12,27,2,r2,Spain,r1,r1,r2,r6,r1 r2 r4 ,r2,r2 r4 r5 ,r4,r3,r1,r2,r2,r1 r2 r6 ,"Algun espacio ludico y vegetacion
",0
164,XaviAlvaro,8840,M,r3,r6,r3,r2,2,1,40,10,4,28,1,r1,Spain,r1,r1,r2,r3,r6 ,r2,r2 ,r3,r4,r5,r1,r2,r6 ,"Mas zonas verdes
",0
165,Miquelspierre,8840,F,r1,r4,r2,r6,6,1,40,10,26,28,3,r2,Ukraine,r1,r1,r2,r3,r6 ,r3,r5 r7 r8 ,r2,r3,r1,r2,r3,r2 ,"K
",0
166,Marta,8840,M,r4,r1,r1,r1,5,1,40,9,20,28,3,r1,Spain,r1,r1,r2,r4,r1 ,r1,na,r3,r4,r1,r4,r2,r1 ,Zonas verdes,1
167,Teo,8840,F,r5,r3,r1,r5,1,1,40,10,24,28,3,r1,Spain,r1,r1,r2,r1,r2 ,r2,r2 r4 r7 ,r5,r3,r1,r2,r2,r1 ,Mas comercio variado hay demasiados bares,0
168,Joan,8840,M,r6,r6,r3,r2,4,1,40,10,20,28,3,r1,Spain,r1,r1,r2,r3,r4 ,r2,r7 r9 r11 ,r4,r5,r1,r1,r2,r1 r2 r6 ,Mí©s vida mí©s enllíæ dels bars,0
169,Nati,8840,F,r5,r2,r3,r5,3,1,40,10,26,28,3,r1,Spain,r1,r4,r2,r4,r1 r2 r3 r5 ,r1,na,r3,r2,r1,r1,r2,r1 r2 r3 r4 r5 ,Sonas verdes,0
170,Evita72,8840,M,r4,r6,r3,r4,2,1,40,10,12,29,2,r1,Spain,r1,r1,r2,r4,r1 ,r2,r2 r6 r7 ,r5,r5,r1,r1,r2,r1 r2 r5 ,"Mas negocios
",0
171,Lucia08,8840,M,r4,r5,r3,r4,6,1,40,10,22,29,3,r1,Spain,r1,r2,r2,r4,r1 r4 r5 ,r2,r5 r6 ,r2,r2,r5,r4,r3,r1 ,activitats ludiques,0
172,Natalia,8840,F,r4,r5,r3,r4,4,1,40,10,16,29,2,r1,Spain,r1,r1,r3,r2,r4 ,r2,r8 ,r7,r4,r1,r2,r2,r2 ,"Mejora del espacio, espacio para actuaciones, etc
",0
173,Cris,8840,F,r4,r6,r3,r2,1,1,40,10,18,29,2,r1,Spain,r1,r1,r2,r3,r1 r2 ,r1,na,r7,r4,r5,r2,r3,r2 ,"Zona verde
",0
174,Chollin,8840,M,r4,r5,r3,r2,5,1,40,10,18,29,2,r1,Spain,r1,r4,r2,r3,r1 ,r1,na,r2,r4,r5,r2,r2,r1 ,"Zona peatonal completa
",0
175,Sandrasg,8840,M,r1,r4,r2,r1,3,1,40,10,20,29,3,r1,Spain,r1,r2,r3,r1,r1 ,r3,r3 ,r1,r2,r4,r4,r2,r1 ,Restauracií_n por la noche y jovenes,0
176,Mimo,8840,M,r4,r6,r3,r2,5,1,40,10,12,30,2,r1,Spain,r1,r1,r2,r3,r5 ,r2,r5 r7 r9 ,r6,r2,r5,r3,r3,r6 ,Sigui exclusiu vianants,0
177,Esquirol,8840,M,r7,r6,r1,r4,1,1,40,10,40,30,5,r1,Spain,r1,r1,r1,r4,r1 ,r2,r2 r5 r7 ,r6,r2,r4,r1,r1,r1 ,"Limpieza,cuidar los vegetales.",0
178,Ana,8840,F,r4,r5,r3,r2,2,1,40,10,12,30,2,r1,Spain,r1,r1,r1,r4,r1 ,r1,na,r4,r4,r5,r1,r2,r1 ,Zonas verdes,0
179,Cristiano,8840,M,r5,r5,r3,r2,6,1,40,10,14,30,2,r1,Spain,r1,r1,r2,r4,r1 ,r1,na,r2,r3,r4,r1,r2,r1 ,X,0
180,12345,8840,M,r1,r3,r2,r1,3,1,40,10,20,30,3,r1,Spain,r1,r1,r2,r2,r5 ,r2,r2 r6 ,r6,r5,r4,r2,r2,r1 ,Nada,0
181,Patriibfe,8840,M,r1,r2,r2,r1,4,1,40,10,16,30,2,r1,Spain,r1,r1,r2,r6,r1 r2 r4 r5 ,r2,r2 r5 ,r4,r4,r4,r2,r2,r2 ,Bar nocturno. ,0
